,user,date,renderedContent
1643,posterbola,2013-07-03 05:58:02+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/VP4G3bxDGE"
1644,noname788,2013-07-03 05:58:01+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/YR8n8QeDXF"
1645,chiquino07,2013-07-03 05:57:58+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/tJR1niHNDp"
1646,DanisworoEvans,2013-07-03 05:57:57+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/99It02Gb3m"
1647,vlady809,2013-07-03 05:57:54+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/bcqD3PN7W5"
1648,bimo_widodo,2013-07-03 05:57:54+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/hcH6Ru62Ts"
1649,PersibNu_Aink,2013-07-03 05:57:52+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/VqRGUdXqP0"
1650,Imron848A,2013-07-03 05:57:52+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/MWNmAH5qyu"
1651,Akbar_S12,2013-07-03 05:57:52+00:00,"#BeritaKu Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/5EM353RQUw"
1652,Juli4nsyah,2013-07-03 05:57:52+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/Iusnb6eep1"
1653,ZidnySyn,2013-07-03 05:57:49+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/h56wY549u6"
1654,bdg_infomedia,2013-07-03 05:57:47+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/yuUvcB9yNf"
1655,lanovia_wedding,2013-07-03 05:57:47+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/JeKvW8T0H0"
1656,PYROSHOW_ID,2013-07-03 05:57:44+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/CZjUOxATiJ"
1657,xxxxx0x0xx0xxx,2013-07-03 05:57:43+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/wTKfkdgJRC"
1658,fluderalis,2013-07-03 05:57:40+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/vVNNznCNF6"
1659,Miss_Blaugrana,2013-07-03 05:57:39+00:00,"#FcbNews =&gt;&gt; Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/vv2SDNbagS [ via @VIVAbola ]"
1660,vikingtwiter,2013-07-03 05:57:38+00:00,"#Respect - Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,""... http://t.co/dy9zcEwiz8 - [@vivabola]"
1661,1899ShopID,2013-07-03 05:57:38+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/NR6DbtHyV5 #1899ShopINFO"
1662,handigunn,2013-07-03 05:57:36+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/Uw3uqsYTK5"
1663,Cr_Agn,2013-07-03 05:57:36+00:00,"#NEWS Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/SoNNzYRkrE"
